Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
TfGM,Transport,Metrolink Operating Costs,03/01/2017,5100103881,"420,401.00",METROLINK RATP DEV LTD
TfGM,Transport,Metrolink Operating Costs,03/01/2017,5100103882,"1,548,235.00",METROLINK RATP DEV LTD
TfGM,Transport,Metrolink Operating Costs,03/01/2017,5100103883,"349,032.00",METROLINK RATP DEV LTD
TfGM,Transport,Capital Costs - Metrolink Operating Costs,03/01/2017,5100103919,"-1,615.00",METROLINK RATP DEV LTD
TfGM,Transport,Metrolink Operating Costs,03/01/2017,5100103941,"2,295.00",METROLINK RATP DEV LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/01/2017,5100104044,"8,200.00",ACUITY PROGRAMME MANAGEMENT LTD
TfGM,Transport,Vehicle Costs,04/01/2017,1200042169,"1,165.89",ALLSTAR
TfGM,Transport,Smart Ticketing,04/01/2017,5100103974,"27,035.00",APPLIED CARD TECHNOLOGIES
TfGM,Transport,Project Support Services,04/01/2017,5100103821,"36,675.00",ARCADIS LLP
TfGM,Transport,Capital Costs - Design Support Services,04/01/2017,5100104211,475,ARCADIS LLP
TfGM,Transport,Design Support Services,04/01/2017,5100104212,"9,450.00",ARCADIS LLP
TfGM,Transport,Capital Costs - Public Art,04/01/2017,5100104193,"4,000.00",ARTREACH (EVENTS) LTD
TfGM,Transport,Capital Costs - Project Support Services,04/01/2017,5100102303,"1,350.00",ATKINS CONSULTANTS LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/01/2017,5100103948,"9,555.00",ATKINS CONSULTANTS LTD
TfGM,Transport,Capital Costs - Engineering Support Services,04/01/2017,5100104069,"1,041.60",ATKINS CONSULTANTS LTD
TfGM,Transport,Print & Media,04/01/2017,5100104052,"7,024.50",AURA GRAPHICS LIMITED
TfGM,Transport,Print & Media,04/01/2017,5100104053,"1,800.00",AURA GRAPHICS LIMITED
TfGM,Transport,Business Case Development,04/01/2017,5100103970,"13,300.00",BEN GILLIGAN ASSOCIATES LTD
TfGM,Transport,Business Case Development,04/01/2017,5100103971,"7,700.00",BEN GILLIGAN ASSOCIATES LTD
TfGM,Transport,Programme and Project Management Services,04/01/2017,5100104026,"11,215.90",BLACC CONSULTING LLP
TfGM,Transport,Print & Media,04/01/2017,5100104061,532.08,BLUETREE DESIGN AND PRINT LTD
TfGM,Transport,Print & Media,04/01/2017,5100104062,501,BLUETREE DESIGN AND PRINT LTD
TfGM,Transport,Print & Media,04/01/2017,5100104063,485,BLUETREE DESIGN AND PRINT LTD
TfGM,Transport,Driver Intervention Course Delivery Costs,04/01/2017,5100103899,"5,500.00",BOLTON MIDDLEBROOK LEISURE TRUST
TfGM,Transport,Driver Intervention Course Delivery Costs,04/01/2017,5100103940,"2,288.00",BOLTON WHITES HOTEL LTD
TfGM,Corporate Services,CCTV Equipment,04/01/2017,5100104066,"3,650.82",BT PLC
TfGM,Corporate Services,CCTV Equipment,04/01/2017,5100104284,"3,426.85",BT PLC
TfGM,Corporate Services,CCTV Equipment,04/01/2017,5100104311,"1,283.28",BT PLC
TfGM,Transport,Concessionary Reimbursement,04/01/2017,1900051387,"1,014.00",BULLITT CARS
TfGM,Transport,Print & Media,04/01/2017,5100104159,"3,714.42",CARAT MEDIA UK LIMITED
TfGM,Transport,Print & Media,04/01/2017,5100104201,"4,178.20",CARAT MEDIA UK LIMITED
TfGM,Transport,"Rent, Rates & Service Charges",04/01/2017,1900051368,"3,953.13",CARILLION SERVICES SOLUTIONS (OPG S
TfGM,Transport,"Rent, Rates & Service Charges",04/01/2017,1900051369,"11,555.89",CARILLION SERVICES SOLUTIONS (OPG S
TfGM,Transport,Security Services,04/01/2017,5100103958,"13,255.22",CARLISLE SECURITY SERVICES LTD
TfGM,Transport,Security Services,04/01/2017,5100103959,"2,405.05",CARLISLE SECURITY SERVICES LTD
TfGM,Transport,Security Services,04/01/2017,5100103960,"2,389.12",CARLISLE SECURITY SERVICES LTD
TfGM,Transport,Cycle Training Scheme,04/01/2017,5100104065,597,CERA LTD
TfGM,Transport,Capital Costs - IS Support Services,04/01/2017,5100103908,"60,626.78",CGI IT UK LTD
TfGM,Corporate Services,Employee Reimbursed Costs,04/01/2017,5100104294,421.72,CHILDCARE VOUCHERS LTD
TfGM,Corporate Services,Employee Reimbursed Costs,04/01/2017,5100104295,"12,049.10",CHILDCARE VOUCHERS LTD
TfGM,Transport,Capital Costs - Print & Media,04/01/2017,5100104198,"2,375.00",CIRCLING THE SQUARE LTD
TfGM,Corporate Services,Procurement Services,04/01/2017,5100104099,"10,200.00",CNC PERFORMANCE CONSULTANTS LTD
TfGM,Transport,Print & Media,04/01/2017,5100103968,"3,570.00",CRITERION PACKAGING LTD
TfGM,Transport,Print & Media,04/01/2017,5100104068,"2,142.00",CRITERION PACKAGING LTD
TfGM,Corporate Services,Cyclescheme,04/01/2017,5100104092,550,CYCLESCHEME LTD
TfGM,Transport,Business Case Development,04/01/2017,5100104199,"5,705.00",DAVE KAYE ASSOCIATES LTD
TfGM,Transport,Driver Intervention Course Delivery Costs,04/01/2017,5100103527,"1,144.00",DRAGON DRIVING
TfGM,Transport,Equipment Maintenance,04/01/2017,5100104263,"12,249.00",DRAKEWELL LIMITED
TfGM,Transport,Business Case Development,04/01/2017,5100104297,"8,850.00",DSW LIMITED
TfGM,Transport,Professional Services,04/01/2017,5100104162,"4,800.00",EDGERTON MANAGEMENT SERVICES LTD
TfGM,Corporate Services,Legal Services,04/01/2017,5100103848,"61,291.18",EVERSHEDS SUTHERLAND (INTERNATIONAL
TfGM,Transport,Paper and Printing Consumables,04/01/2017,5100103963,"2,045.00",FRETWELL PRINT AND DIRECT MAIL
TfGM,Transport,Cycling Support Services,04/01/2017,5100103525,840,GET ON C.I.C
TfGM,Transport,Cycling Support Services,04/01/2017,5100103526,"1,820.00",GET ON C.I.C
TfGM,Transport,Capital Costs - Traffic Signal Works,04/01/2017,5100103928,"6,372.08",GREATER MANCHESTER COMBINED AUTHORI
TfGM,Transport,Capital Costs - Traffic Signal Works,04/01/2017,5100103929,"7,022.93",GREATER MANCHESTER COMBINED AUTHORI
TfGM,Transport,Capital Costs - Traffic Signal Works,04/01/2017,5100103930,"6,440.54",GREATER MANCHESTER COMBINED AUTHORI
TfGM,Transport,Capital Costs - Traffic Signal Works,04/01/2017,5100103931,"24,229.30",GREATER MANCHESTER COMBINED AUTHORI
TfGM,Transport,Capital Costs - Traffic Signal Works,04/01/2017,5100103932,"1,026.34",GREATER MANCHESTER COMBINED AUTHORI
TfGM,Corporate Services,Temporary Vacancy Cover,04/01/2017,5100104060,"4,091.10",HAYS SPECIALIST RECRUITMENT LTD
TfGM,Corporate Services,Financial and Commercial Support Services,04/01/2017,5100104261,"1,380.30",HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Financial and Commercial Support Services,04/01/2017,5100104262,796.5,HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Driver Intervention Course Delivery Costs,04/01/2017,5100104018,"3,166.67",HOLIDAY INN MANCHESTER EAST
TfGM,Transport,Driver Intervention Course Delivery Costs,04/01/2017,5100104200,"3,008.33",HOLIDAY INN MANCHESTER EAST
TfGM,Transport,Business Case Development,04/01/2017,5100104194,"54,976.40",JACOBS UK LTD
TfGM,Transport,Capital Costs - Passenger Shelter Costs,04/01/2017,5100103516,"249,030.89",JC DECAUX UK LTD
TfGM,Transport,Traffic Signal Works,04/01/2017,5100104244,539.83,JONES LIGHTING
TfGM,Transport,Smart Ticketing,04/01/2017,5100104269,"8,421.60",KETTERA
TfGM,Transport,Human Resource Services,04/01/2017,5100103950,"2,139.00",LINKEDIN
TfGM,Transport,Sustainable Transport Support Services,04/01/2017,1900051371,0,LIVING STREETS
TfGM,Transport,"Capital Costs - Rent, Rates & Service Charges",04/01/2017,1900051279,"6,373.75",MANCHESTER CITY COUNCIL
TfGM,Transport,"Rent, Rates & Service Charges",04/01/2017,1900051280,"2,837.50",MANCHESTER CITY COUNCIL
TfGM,Transport,Exhibitions and Conferences,04/01/2017,5100104017,"1,700.00",MANCHESTER TOWN HALL COMPLEX EVENTS
TfGM,Transport,Smart Ticketing,04/01/2017,5100103812,"20,737.50",MARBLE CONSULTING LTD
TfGM,Transport,Metrolink Operating Costs,04/01/2017,5100104147,"836,581.00",METROLINK RATP DEV LTD
TfGM,Transport,Capital Costs - Computer and Communications Equipment,04/01/2017,5100103900,553.45,MISCO
TfGM,Transport,Capital Costs - IS Support Services,04/01/2017,5100103939,"5,413.50",MOTT MACDONALD LTD
TfGM,Transport,Mechanical & Engineering Feasibility Support,04/01/2017,5100104008,700,MOTT MACDONALD LTD
TfGM,Transport,Mechanical & Engineering Feasibility Support,04/01/2017,5100104009,"1,500.00",MOTT MACDONALD LTD
TfGM,Transport,Mechanical & Engineering Feasibility Support,04/01/2017,5100104010,"1,250.00",MOTT MACDONALD LTD
TfGM,Transport,Mechanical & Engineering Feasibility Support,04/01/2017,5100104011,"2,750.00",MOTT MACDONALD LTD
TfGM,Transport,Mechanical & Engineering Feasibility Support,04/01/2017,5100104012,500,MOTT MACDONALD LTD
TfGM,Transport,Mechanical & Engineering Feasibility Support,04/01/2017,5100104013,"6,000.00",MOTT MACDONALD LTD
