Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
TfGM,Transport,Accessible Transport,12/10/2016,1200041025,"373,083.00",GMATL
TfGM,Transport,Research Services,04/10/2016,5100099861,"13,450.00",AECOM LTD
TfGM,Transport,Design Support Services,04/10/2016,5100100254,"4,685.00",AECOM LTD
TfGM,Transport,Business Case Development,04/10/2016,5100100289,"5,616.00",AECOM LTD
TfGM,Transport,Community Engagement Services,04/10/2016,5100100292,658.51,AECOM LTD
TfGM,Transport,Design Support Services,04/10/2016,5100100406,"14,420.00",AECOM LTD
TfGM,Transport,Community Engagement Services,04/10/2016,5100100408,"2,952.99",AECOM LTD
TfGM,Transport,Planning Support Services,04/10/2016,5100100409,"16,800.00",AECOM LTD
TfGM,Transport,Paper and Printing Consumables,04/10/2016,5100100320,737.84,ANTALIS LTD
TfGM,Transport,Paper and Printing Consumables,04/10/2016,5100100410,776.37,ANTALIS LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/10/2016,5100100414,"8,550.00",ARCADIS LLP
TfGM,Transport,Design Support Services,04/10/2016,5100100445,"6,750.00",ARCADIS LLP
TfGM,Transport,Capital Costs - Design Support Services,04/10/2016,5100100446,950,ARCADIS LLP
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/10/2016,5100100841,"7,490.00",ARK PROJECT MANAGEMENT LTD
TfGM,Transport,Staff Rail Passes,04/10/2016,5100100564,"1,459.15",ARRIVA RAIL NORTH LTD
TfGM,Transport,Training,04/10/2016,5100100810,731.6,ASF PEOPLE DEVELOPMENT
TfGM,Corporate Services,IS Support and Licences,04/10/2016,5100100809,"11,000.00",ATKINS CONSULTANTS LTD
TfGM,Transport,Print & Media,04/10/2016,5100100349,"4,000.00",BAUER RADIO LTD
TfGM,Transport,Print & Media,04/10/2016,5100100742,792,BJL GROUP LTD
TfGM,Transport,Traffic Signal Works,04/10/2016,5100100255,457.75,BLUE NETWORK SOLUTIONS LTD
TfGM,Transport,Traffic Signal Works,04/10/2016,5100100419,"2,058.46",BLUE NETWORK SOLUTIONS LTD
TfGM,Transport,"Rent, Rates & Service Charges",04/10/2016,1900049675,"12,076.08",BURY MBC
TfGM,Transport,Cleaning,04/10/2016,5100100463,"9,012.42",BURY MBC
TfGM,Transport,Driver Intervention Course Delivery Costs,04/10/2016,5100100786,"5,400.00",BURY MBC
TfGM,Transport,Print & Media,04/10/2016,5100100822,"2,250.00",CALVERTON FINANCE
TfGM,Transport,Vehicle Repairs & Maintenance,04/10/2016,5100100495,785,DIGITECH CCTV
