Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
TfGM,Corporate Services,Telecommunications,01/07/2017,1200045024,"18,336.66",British Telecommunications Plc
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,03/07/2017,5100110974,"(57,743.93)",BT OPENREACH (SALFORD)
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,03/07/2017,5100111133,(716.15),BT OPENREACH (SALFORD)
TfGM,Transport,Print & Media,03/07/2017,5100111308,"(3,610.00)",DYNAMIC ADVERTISING GROUP
TfGM,Transport,Postage Costs,03/07/2017,1900054851,"2,000.00",FRAMA UK LIMITED
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/07/2017,5100111092,"9,520.40",ARCADIS CONSULTING (UK) LTD
TfGM,Transport,Design Support Services,04/07/2017,5100111277,"65,047.08",ARCADIS LLP
TfGM,Transport,Capital Costs - Design Support Services,04/07/2017,5100110939,"23,561.25",ATKINS CONSULTANTS LTD
TfGM,Transport,Capital Costs - Engineering Support Services,04/07/2017,5100110940,686.00,ATKINS CONSULTANTS LTD
TfGM,Corporate Services,IS Software & Maintenance,04/07/2017,5100111318,"3,120.00",BELMONTE BUSINESS EQUIPMENT LTD
TfGM,Transport,Print & Media,04/07/2017,5100111215,658.00,BLUETREE DESIGN AND PRINT LTD
TfGM,Transport,Print & Media,04/07/2017,5100110931,561.00,CESTRIAN IMAGING LTD
TfGM,Transport,Print & Media,04/07/2017,5100110932,561.00,CESTRIAN IMAGING LTD
TfGM,Corporate Services,Payroll Support Services,04/07/2017,5100111339,994.85,CGI IT UK LTD
TfGM,Transport,Telecommunications,04/07/2017,5100111307,"6,298.02",DAISY COMMUNICATIONS
TfGM,Transport,Supported Bus Services,04/07/2017,5100111236,"22,610.22",DERBYSHIRE COUNTY COUNCIL
TfGM,Transport,Capital Costs - Other Equipment,04/07/2017,5100111041,"1,025.10",FIELDWAY GROUP
TfGM,Transport,Property & Equipment Maintenance,04/07/2017,5100111315,"4,790.00",FIELDWAY GROUP
TfGM,Transport,Property & Equipment Maintenance,04/07/2017,5100111316,"2,990.74",FIELDWAY GROUP
TfGM,Transport,Property & Equipment Maintenance,04/07/2017,5100111317,"6,366.42",FIELDWAY GROUP
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,04/07/2017,1900054857,"60,000.00",KIER CONSTRUCTION - NORTHERN
TfGM,Transport,Driver Intervention Course Delivery Costs,04/07/2017,5100110670,"1,641.00",L ATKINSON DTS
TfGM,Transport,Print & Media,04/07/2017,5100111338,784.33,M ABRAM
TfGM,Transport,Training,04/07/2017,5100110894,975.00,MAKINSON PROGRESS LIMITED
TfGM,Transport,"Rent, Rates & Service Charges",04/07/2017,1900054695,"2,837.50",MANCHESTER CITY COUNCIL
TfGM,Transport,Capital Costs - Metrolink Operating Costs,04/07/2017,5100111332,"41,302.00",METROLINK RATP DEV LTD
TfGM,Transport,Capital Costs - Metrolink Operating Costs,04/07/2017,5100111333,"41,302.00",METROLINK RATP DEV LTD
TfGM,Transport,Metrolink Operating Costs,04/07/2017,5100111340,"839,882.00",METROLINK RATP DEV LTD
TfGM,Transport,Programme and Project Management Services,04/07/2017,5100111094,"1,768.00",MORSON INTERNATIONAL
TfGM,Corporate Services,IS Support Services,04/07/2017,5100111095,"4,111.92",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Project Management Services,04/07/2017,5100111097,"9,247.78",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/07/2017,5100111099,"1,935.00",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/07/2017,5100111100,"1,671.00",MORSON INTERNATIONAL
TfGM,Transport,Traffic and Transportation Surveys,04/07/2017,5100111230,590.25,PLUSWORK LTD
TfGM,Transport,Traffic and Transportation Surveys,04/07/2017,5100111275,"4,796.21",PLUSWORK LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/07/2017,5100111088,"1,842.50",PRACTICUS LIMITED
TfGM,Transport,Capital Costs - Smart Ticketing,04/07/2017,5100111089,"2,000.00",PRACTICUS LIMITED
TfGM,Transport,Smart Ticketing,04/07/2017,5100111090,"2,500.00",PRACTICUS LIMITED
TfGM,Transport,Capital Costs - Smart Ticketing,04/07/2017,5100111091,"2,250.00",PRACTICUS LIMITED
TfGM,Transport,Capital Costs - Passenger Shelter Costs ,04/07/2017,5100109711,"5,486.88",QUEENSBURY SHELTERS LIMITED
TfGM,Transport,Engineering Support Services,04/07/2017,5100111335,"2,650.00",ROBERT WALTERS PLC
TfGM,Transport,Engineering Support Services,04/07/2017,5100111337,"2,120.00",ROBERT WALTERS PLC
TfGM,Transport,Design Support Services,04/07/2017,5100110502,"9,602.00",STEER DAVIES GLEEVE LTD
TfGM,Transport,Planning Support Services,04/07/2017,5100111141,"5,643.40",STEER DAVIES GLEEVE LTD
TfGM,Transport,Traffic Signal Works,04/07/2017,5100110877,"5,990.43",TELENT TECHNOLOGY SERVICES LIMITED
TfGM,Transport,Cycle Training Scheme,04/07/2017,5100111302,"1,975.00",THE NATIONWIDE CYCLING ACADEMY
TfGM,Transport,Cycle Training Scheme,04/07/2017,5100111303,775.00,THE NATIONWIDE CYCLING ACADEMY
TfGM,Transport,Cycle Training Scheme,04/07/2017,5100111304,"1,200.00",THE NATIONWIDE CYCLING ACADEMY
TfGM,Transport,Cycle Training Scheme,04/07/2017,5100111305,925.00,THE NATIONWIDE CYCLING ACADEMY
TfGM,Corporate Services,Computer and Communications Equipment,04/07/2017,5100110969,842.11,TRANSACT TECHNOLOGY SOLUTIONS LTD
TfGM,Transport,Cleaning,04/07/2017,5100111168,"(1,111.90)",TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/07/2017,5100111255,660.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/07/2017,5100111322,566.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,"Rent, Rates & Service Charges",04/07/2017,1700036786,"(3,011.52)",WIGAN COUNCIL
TfGM,Transport,"Rent, Rates & Service Charges",04/07/2017,1700036787,"(3,011.52)",WIGAN COUNCIL
TfGM,Transport,Security Services,04/07/2017,5100111124,"5,922.50",WIGAN COUNCIL
TfGM,Transport,Vehicle Costs,05/07/2017,1200045024,791.30,ALLSTAR
TfGM,Transport,Metrolink Operating Costs,06/07/2017,5100110155,"12,656.82",SCHEIDT & BACHMANN GMBH
TfGM,Transport,Metrolink Operating Costs,06/07/2017,5100110174,"26,978.54",SCHEIDT & BACHMANN GMBH
TfGM,Transport,Capital Costs - Mechanical & Engineering Support Services,07/07/2017,5100110194,"9,575.00",AECOM LTD
TfGM,Transport,Smart Ticketing,07/07/2017,5100110989,"27,034.00",APPLIED CARD TECHNOLOGIES
TfGM,Transport,Print & Media,07/07/2017,5100111212,495.00,ASTRA SIGNS LTD
TfGM,Transport,Equipment and Electrical Consumables,07/07/2017,5100111186,"4,922.00",BEELINE PROMOTIONAL PRODUCTS
TfGM,Corporate Services,Insurance,07/07/2017,5100111375,514.00,BERRYMANS LACE MAWER LLP
TfGM,Transport,Concessionary Reimbursement,07/07/2017,1900054916,754.00,BLUELINE PRIVATE HIRE
TfGM,Transport,Capital Costs - Community Transport Support Services,07/07/2017,5100111349,534.08,BREAKTHROUGH UK LTD
TfGM,Transport,Capital Costs - Computer and Communications Equipment,07/07/2017,5100111169,"(1,419.72)",BT PLC
TfGM,Transport,Capital Costs - Computer and Communications Equipment,07/07/2017,5100111391,"8,439.64",BT PLC
TfGM,Transport,Print & Media,07/07/2017,5100109782,"4,529.20",CARAT MEDIA UK LIMITED
TfGM,Transport,Print & Media,07/07/2017,5100110283,"(2,504.00)",CARAT MEDIA UK LIMITED
TfGM,Transport,Print & Media,07/07/2017,5100110298,"(4,414.74)",CARAT MEDIA UK LIMITED
TfGM,Transport,Print & Media,07/07/2017,5100110341,(456.66),CARAT MEDIA UK LIMITED
TfGM,Transport,Print & Media,07/07/2017,5100111154,"19,982.98",CARAT MEDIA UK LIMITED
TfGM,Transport,Print & Media,07/07/2017,5100111240,"(14,655.25)",CARAT MEDIA UK LIMITED
TfGM,Transport,Capital Costs - Project Management Services,07/07/2017,5100111160,"1,400.00",CDI ANDERSELITE LTD
TfGM,Corporate Services,IS Support Services,07/07/2017,5100109762,"7,600.00",CHASSAM RECRUITMENT
TfGM,Corporate Services,Employee Reimbursed Costs,07/07/2017,5100111344,"12,154.20",CHILDCARE VOUCHERS LTD
TfGM,Corporate Services,Employee Reimbursed Costs,07/07/2017,5100111345,425.40,CHILDCARE VOUCHERS LTD
TfGM,Corporate Services,Procurement Services,07/07/2017,5100111348,"15,032.40",CNC PERFORMANCE CONSULTANTS LTD
TfGM,Corporate Services,Telecommunications,07/07/2017,5100110944,"6,798.72",DAISY COMMUNICATIONS
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,07/07/2017,5100111225,"79,312.76",ELECTRICITY NORTH WEST EHV
TfGM,Transport,Print & Media,07/07/2017,5100111282,"3,300.00",EXTERION MEDIA (UK) LIMITED
TfGM,Transport,Concessionary Reimbursement,07/07/2017,1900054921,"2,094.00",GLENNYS GLOVER T/A MAINLINE DOLPHIN
TfGM,Corporate Services,IS Support Services,07/07/2017,5100111196,"2,529.36",KONICA MINOLTA (UK)
TfGM,Corporate Services,IS Support Services,07/07/2017,5100111209,"6,208.99",KONICA MINOLTA (UK)
TfGM,Transport,Insurance,07/07/2017,1900054886,"1,661.27",M J MAPP
TfGM,Transport,"Rent, Rates & Service Charges",07/07/2017,1900054887,"5,808.25",M J MAPP
TfGM,Transport,"Rent, Rates & Service Charges",07/07/2017,1900054882,771.20,MANCHESTER CITY COUNCIL
TfGM,Transport,"Rent, Rates & Service Charges",07/07/2017,1900054884,771.20,MANCHESTER CITY COUNCIL
TfGM,Transport,"Rent, Rates & Service Charges",07/07/2017,1900054906,"24,325.20",MANCHESTER CITY COUNCIL
TfGM,Transport,"Rent, Rates & Service Charges",07/07/2017,1900054907,"48,370.80",MANCHESTER CITY COUNCIL
TfGM,Transport,"Rent, Rates & Service Charges",07/07/2017,1900054908,"49,963.32",MANCHESTER CITY COUNCIL
TfGM,Transport,Concessionary Reimbursement,07/07/2017,1900054917,"2,207.00",METRO TAXIS LTD
TfGM,Transport,Equipment and Electrical Consumables,07/07/2017,5100111187,"2,857.50",MIRAGE DISPLAY LTD
TfGM,Transport,Print & Media,07/07/2017,5100111188,560.64,MIRAGE DISPLAY LTD
TfGM,Transport,Planning Support Services,07/07/2017,5100111400,"3,025.00",MOTT MACDONALD LTD
